ticket_id,user_id,fecha,canal,tiempo_primera_respuesta_min,tiempo_resolucion_hs,resuelto,tema_principal,subtema,csat_score,reapertura
CH0001,U1684,2024-01-05,chat,9,2.1,si,facturacion,errores_sat,4,no
CH0002,U0073,2023-06-13,chat,25,23.3,no,pagos,fallo_cobro,2,si
CH0003,U1969,2023-03-01,chat,9,0.5,si,configuracion,plan_cuentas,4,no
CH0004,U0746,2023-11-21,chat,7,0.6,si,configuracion,onboarding_general,4,no
CH0005,U1152,2024-02-11,chat,23,1.3,si,cuenta,reactivacion,3,no
CH0006,U1043,2023-07-09,chat,20,1.8,si,facturacion,errores_dian,3,no
CH0007,U1255,2023-10-16,chat,16,2.5,si,reportes,balance_general,3,no
CH0008,U1791,2023-06-26,chat,24,2.3,si,facturacion,errores_sat,5,no
CH0009,U0007,2023-08-24,chat,21,27.3,no,configuracion,integracion_banco,1,si
CH0010,U0592,2023-01-06,chat,11,2.7,si,configuracion,datos_empresa,4,no
CH0011,U1654,2023-06-11,chat,2,2.2,si,configuracion,onboarding_general,5,no
CH0012,U1220,2024-01-27,chat,21,2.4,si,reportes,exportar_excel,5,no
CH0013,U1912,2023-07-23,chat,20,2.5,si,integraciones,banco,3,no
CH0014,U0414,2023-03-28,chat,11,0.5,si,configuracion,datos_empresa,3,no
CH0015,U0216,2023-01-20,chat,15,15.3,no,pagos,disputa,1,no
CH0016,U0496,2023-06-24,chat,20,2.2,si,pagos,actualizacion_tarjeta,5,no
CH0017,U0302,2023-01-26,chat,6,0.8,si,pagos,fallo_cobro,3,no
CH0018,U1135,2023-07-30,chat,23,27.3,no,facturacion,emision_factura,3,si
CH0019,U1303,2023-05-28,chat,12,0.9,si,integraciones,banco,3,no
CH0020,U0589,2023-05-03,chat,2,2.2,si,integraciones,banco,3,no
CH0021,U0056,2023-02-19,chat,8,1.8,si,reportes,estado_resultados,4,no
CH0022,U1357,2023-05-01,chat,12,2,si,configuracion,datos_empresa,5,no
CH0023,U1909,2023-04-30,chat,12,0.9,si,facturacion,descarga_xml,3,no
CH0024,U1303,2023-09-06,chat,15,1.2,si,integraciones,pasarela_pago,4,no
CH0025,U0836,2024-01-12,chat,17,1.2,si,pagos,disputa,5,no
CH0026,U1779,2023-08-21,chat,16,1.4,si,configuracion,onboarding_general,3,no
CH0027,U1131,2023-04-07,chat,2,0.6,si,facturacion,errores_sat,3,no
CH0028,U0772,2023-01-29,chat,6,1,si,facturacion,errores_dian,4,no
CH0029,U0963,2024-01-06,chat,7,1.7,si,cuenta,suspension_cuenta,4,no
CH0030,U0384,2023-10-28,chat,6,2.5,si,reportes,flujo_caja,5,no
CH0031,U0923,2023-08-21,chat,8,2.4,si,integraciones,banco,5,no
CH0032,U0320,2023-02-02,chat,10,18.3,no,facturacion,errores_sat,3,si
CH0033,U0404,2023-09-25,chat,25,1,si,cuenta,reactivacion,3,no
CH0034,U1479,2023-03-25,chat,8,3,si,configuracion,integracion_banco,5,no
CH0035,U0057,2024-01-30,chat,20,11,no,cuenta,suspension_cuenta,3,si
CH0036,U0570,2023-06-03,chat,4,1.3,si,facturacion,factura_electronica_avanzada,3,no
CH0037,U0516,2024-02-20,chat,13,2.2,si,configuracion,plan_cuentas,5,no
CH0038,U1447,2023-04-27,chat,24,0.6,si,configuracion,plan_cuentas,5,no
CH0039,U1978,2023-11-11,chat,24,2.1,si,configuracion,datos_empresa,4,no
CH0040,U1891,2023-04-11,chat,12,2.5,si,pagos,fallo_cobro,3,no
CH0041,U1466,2023-09-25,chat,16,2.9,si,configuracion,datos_empresa,5,no
CH0042,U1855,2024-02-17,chat,21,1.1,si,facturacion,errores_dian,4,no
CH0043,U1150,2023-09-04,chat,13,0.6,si,integraciones,banco,4,no
CH0044,U1657,2023-09-02,chat,6,2.2,si,facturacion,descarga_xml,1,no
CH0045,U1146,2023-08-04,chat,4,2,si,facturacion,errores_dian,4,no
CH0046,U1396,2023-08-22,chat,11,2.1,si,configuracion,datos_empresa,4,no
CH0047,U1122,2023-05-08,chat,25,2.1,si,pagos,fallo_cobro,5,no
CH0048,U1307,2024-01-30,chat,14,2.2,si,facturacion,emision_factura,5,no
CH0049,U0354,2023-06-20,chat,6,1.4,si,pagos,disputa,5,no
CH0050,U0542,2023-11-17,chat,5,2.4,si,facturacion,errores_dian,4,no
CH0051,U1514,2023-07-30,chat,7,2.9,si,facturacion,descarga_xml,4,no
CH0052,U0862,2023-11-27,chat,18,2.1,si,configuracion,onboarding_general,3,no
CH0053,U1514,2023-06-10,chat,20,1.7,si,facturacion,descarga_xml,4,no
CH0054,U0350,2023-05-28,chat,12,2.9,si,facturacion,descarga_xml,4,no
CH0055,U0555,2024-01-07,chat,25,2.9,si,reportes,exportar_excel,3,no
CH0056,U0612,2023-01-31,chat,24,2.7,si,integraciones,banco,4,no
CH0057,U0146,2023-06-26,chat,6,21.1,no,facturacion,emision_factura,1,si
CH0058,U0687,2023-12-13,chat,15,2.1,si,facturacion,errores_dian,3,no
CH0059,U1489,2023-02-09,chat,25,7.9,no,configuracion,integracion_banco,2,si
CH0060,U0577,2023-08-13,chat,19,1.6,si,reportes,flujo_caja,4,no
CH0061,U0578,2023-03-25,chat,18,2.8,si,facturacion,descarga_xml,5,no
CH0062,U1510,2023-01-16,chat,16,21.6,no,integraciones,pasarela_pago,1,no
CH0063,U0603,2023-05-29,chat,18,1.4,si,reportes,exportar_excel,3,no
CH0064,U0215,2023-02-27,chat,25,1.3,si,reportes,balance_general,3,no
CH0065,U0573,2023-05-12,chat,20,0.6,si,cuenta,cambio_plan,3,no
CH0066,U0900,2023-03-28,chat,24,0.7,si,pagos,actualizacion_tarjeta,5,no
CH0067,U0355,2023-01-16,chat,11,1,si,integraciones,api_externa,4,no
CH0068,U0116,2023-05-16,chat,4,0.6,si,facturacion,errores_dian,5,no
CH0069,U1982,2023-04-16,chat,4,1.4,si,integraciones,banco,3,no
CH0070,U0747,2024-01-08,chat,18,1.9,si,facturacion,descarga_xml,3,no
CH0071,U1579,2023-08-09,chat,16,12.6,no,facturacion,emision_factura,2,si
CH0072,U0708,2023-02-06,chat,12,1.9,si,facturacion,errores_sat,4,no
CH0073,U0972,2023-01-27,chat,23,1.4,si,facturacion,descarga_xml,3,no
CH0074,U0215,2023-06-21,chat,5,2.8,si,configuracion,integracion_banco,3,no
CH0075,U0525,2023-04-17,chat,13,1.2,si,facturacion,emision_factura,5,no
CH0076,U1756,2023-08-04,chat,12,1.1,si,integraciones,api_externa,3,no
CH0077,U1940,2023-06-12,chat,13,2.6,si,facturacion,errores_sat,4,no
CH0078,U1837,2023-02-08,chat,7,1.6,si,facturacion,emision_factura,5,no
CH0079,U1328,2023-06-06,chat,12,2.4,si,facturacion,emision_factura,5,no
CH0080,U1060,2023-08-12,chat,25,2.3,si,configuracion,plan_cuentas,4,no
CH0081,U1569,2023-04-28,chat,9,0.7,si,facturacion,factura_electronica_avanzada,5,no
CH0082,U1342,2023-11-10,chat,20,0.7,si,pagos,fallo_cobro,5,no
CH0083,U1715,2023-05-18,chat,3,2,si,reportes,balance_general,3,no
CH0084,U1710,2024-01-04,chat,21,2.3,si,cuenta,cambio_plan,3,no
CH0085,U1356,2023-12-25,chat,22,1.8,si,pagos,actualizacion_tarjeta,5,no
CH0086,U0158,2023-06-21,chat,24,2.8,si,reportes,exportar_excel,4,no
CH0087,U1303,2023-04-09,chat,11,2.6,si,facturacion,descarga_xml,4,no
CH0088,U1321,2023-03-30,chat,17,2.8,si,configuracion,integracion_banco,4,no
CH0089,U1832,2023-05-23,chat,19,0.7,si,facturacion,errores_sat,5,no
CH0090,U1312,2024-01-09,chat,6,1.7,si,pagos,fallo_cobro,3,no
CH0091,U1508,2023-08-07,chat,17,2,si,facturacion,descarga_xml,4,no
CH0092,U0940,2023-09-17,chat,4,0.5,si,integraciones,banco,4,no
CH0093,U1968,2023-01-28,chat,18,1.1,si,configuracion,plan_cuentas,3,no
