user_id,nombre_empresa,segmento,pais,plan,monto_mensual_usd,fecha_registro,fecha_ultimo_pago,estado_cuenta,metodo_pago,user_id,fecha_retiro,tipo_retiro,motivo_principal,motivo_secundario,lo_reemplaza_con,nps_salida,comentario_libre,user_id,fecha_primer_login,configuracion_empresa_completa,empleados_cargados,plan_cuentas_configurado,primer_factura_emitida,dias_primer_factura,integracion_banco_conectada,facturas_emitidas_mes1,facturas_emitidas_mes3,reportes_generados_mes3,usuarios_adicionales,modulo_nomina_activo,modulo_inventario_activo,modulo_cxc_activo,login_ultimos_30_dias,sesiones_promedio_semana
U0001,Medina Vargas & Asociados,Contador,Colombia,Growth,35,2022-08-17,2024-01-07,activo,transferencia,,,,,,,,,U0001,44790,si,si,si,si,4,no,4,10,11,1,no,no,si,si,5.7
U0002,Taller Vargas,Pyme,Colombia,Starter,19,2022-08-27,2024-01-02,activo,transferencia,,,,,,,,,U0002,44800,si,si,si,si,5,no,30,54,1,2,no,si,si,si,5.1
U0003,Panadería Flores,Pyme,Colombia,Pro,49,2022-06-13,2024-01-22,activo,tarjeta,,,,,,,,,U0003,44725,si,no,si,si,1,no,16,28,,3,si,no,si,si,2.2
U0004,Repuestos Reyes,Pyme,México,Starter,19,2022-09-28,2023-12-27,inactivo,tarjeta,,,,,,,,,U0004,44832,no,no,no,no,,no,1,4,3,2,no,no,si,no,1.2
U0005,Supermercado Sánchez S.A.,Pyme,México,Pro,49,2023-01-06,2024-02-15,activo,tarjeta,,,,,,,,,U0005,44932,no,si,si,no,,si,0,2,13,2,si,no,si,si,3.3
U0006,Morales Pérez Contadores,Contador,Panamá,Growth,35,2023-04-10,2024-01-24,activo,tarjeta,,,,,,,,,U0006,45026,si,si,si,si,8,no,4,6,9,2,no,no,no,si,3.1
U0007,Tienda Morales,Pyme,Ecuador,Growth,35,2023-09-16,2024-02-04,activo,transferencia,,,,,,,,,U0007,45185,si,si,si,si,7,no,23,33,7,2,no,no,si,si,6.8
U0008,Ramos López Fiscalistas,Contador,Costa Rica,Pro,49,2023-12-03,2024-02-19,activo,transferencia,,,,,,,,,U0008,45263,si,si,si,si,3,si,6,7,7,6,no,no,no,si,6.3
U0009,Repuestos Morales,Pyme,Colombia,Pro,49,2023-08-04,2023-11-15,suspendido,tarjeta,U0009,2023-12-23,voluntario,migro_a_competidor,precio_alto,no_sabe,3,muy caro para lo que ofrece comparado con la competencia,U0009,45142,si,si,no,si,5,no,10,18,2,5,si,si,no,si,0.5
U0010,Panadería Hernández S.A.,Pyme,Costa Rica,Growth,35,2023-08-22,2024-02-07,activo,tarjeta,,,,,,,,,U0010,45160,si,no,si,si,3,no,25,35,,1,no,si,no,si,3.5
