user_id,nombre_empresa,segmento,pais,plan,monto_mensual_usd,fecha_registro,fecha_ultimo_pago,estado_cuenta,metodo_pago,fecha_retiro,tipo_retiro,motivo_principal,motivo_secundario,lo_reemplaza_con,nps_salida,comentario_libre,fecha_primer_login,configuracion_empresa_completa,empleados_cargados,plan_cuentas_configurado,primer_factura_emitida,dias_primer_factura,integracion_banco_conectada,facturas_emitidas_mes1,facturas_emitidas_mes3,reportes_generados_mes3,usuarios_adicionales,modulo_nomina_activo,modulo_inventario_activo,modulo_cxc_activo,login_ultimos_30_dias,sesiones_promedio_semana,chat_tickets,chat_no_resueltos,chat_reaperturas,chat_csat_prom,chat_tpr_prom,wa_tickets,wa_deriva_agente,wa_negativos,tel_llamadas,tel_escalados,tel_nps_prom,usa_soporte,soporte_tickets_total,friccion,canal_mas_usado
U0001,Medina Vargas & Asociados,Contador,Colombia,Growth,35,2022-08-17,2024-01-07,activo,transferencia,,,,,,,,44790,si,si,si,si,4,no,4,10,11,1,no,no,si,si,5.7,3,0,0,4.333333333,5.666666667,0,0,0,0,0,,1,3,0,chat
U0002,Taller Vargas,Pyme,Colombia,Starter,19,2022-08-27,2024-01-02,activo,transferencia,,,,,,,,44800,si,si,si,si,5,no,30,54,1,2,no,si,si,si,5.1,1,0,0,3,4,0,0,0,0,0,,1,1,0,chat
U0003,Panadería Flores,Pyme,Colombia,Pro,49,2022-06-13,2024-01-22,activo,tarjeta,,,,,,,,44725,si,no,si,si,1,no,16,28,,3,si,no,si,si,2.2,1,1,0,3,19,1,0,1,0,0,,1,2,1,chat
U0004,Repuestos Reyes,Pyme,México,Starter,19,2022-09-28,2023-12-27,inactivo,tarjeta,,,,,,,,44832,no,no,no,no,,no,1,4,3,2,no,no,si,no,1.2,0,0,0,,,0,0,0,0,0,,0,0,0,ninguno
U0005,Supermercado Sánchez S.A.,Pyme,México,Pro,49,2023-01-06,2024-02-15,activo,tarjeta,,,,,,,,44932,no,si,si,no,,si,0,2,13,2,si,no,si,si,3.3,0,0,0,,,1,0,0,0,0,,1,1,0,whatsapp
U0006,Morales Pérez Contadores,Contador,Panamá,Growth,35,2023-04-10,2024-01-24,activo,tarjeta,,,,,,,,45026,si,si,si,si,8,no,4,6,9,2,no,no,no,si,3.1,1,1,0,3,18,1,1,1,0,0,,1,2,1,chat
U0007,Tienda Morales,Pyme,Ecuador,Growth,35,2023-09-16,2024-02-04,activo,transferencia,,,,,,,,45185,si,si,si,si,7,no,23,33,7,2,no,no,si,si,6.8,1,1,1,1,21,0,0,0,0,0,,1,1,1,chat
U0008,Ramos López Fiscalistas,Contador,Costa Rica,Pro,49,2023-12-03,2024-02-19,activo,transferencia,,,,,,,,45263,si,si,si,si,3,si,6,7,7,6,no,no,no,si,6.3,0,0,0,,,2,0,0,0,0,,1,2,0,whatsapp
U0009,Repuestos Morales,Pyme,Colombia,Pro,49,2023-08-04,2023-11-15,suspendido,tarjeta,2023-12-23,voluntario,migro_a_competidor,precio_alto,no_sabe,3,muy caro para lo que ofrece comparado con la competencia,45142,si,si,no,si,5,no,10,18,2,5,si,si,no,si,0.5,1,1,0,3,24,0,0,0,0,0,,1,1,1,chat
U0010,Panadería Hernández S.A.,Pyme,Costa Rica,Growth,35,2023-08-22,2024-02-07,activo,tarjeta,,,,,,,,45160,si,no,si,si,3,no,25,35,,1,no,si,no,si,3.5,2,0,0,4.5,9,0,0,0,0,0,,1,2,0,chat
